_id,accuracy,bpm,timestamp
1,1,72,1748980786000
2,1,71,1748980996000
3,1,71,1748981041000
4,1,77,1748980486000
5,1,83,1748980306000
6,1,83,1748980231000
7,1,72,1748980921000
8,1,83,1748980336000
9,1,83,1748980261000
10,1,78,1748980441000
11,1,71,1748980591000
12,1,83,1748980381000
13,1,72,1748980831000
14,1,77,1748980456000
15,1,72,1748980756000
16,1,83,1748980321000
17,1,83,1748980276000
18,1,73,1748980681000
19,1,73,1748980636000
20,1,72,1748980726000
21,1,71,1748980576000
22,1,71,1748981026000
23,1,78,1748980411000
24,1,83,1748980246000
25,1,83,1748980291000
26,1,72,1748980696000
27,1,72,1748980906000
28,1,71,1748980621000
29,1,71,1748981071000
30,1,72,1748980771000
31,1,71,1748981101000
32,1,72,1748980846000
33,1,72,1748980876000
34,1,71,1748980966000
35,1,71,1748980936000
36,1,71,1748980606000
37,1,74,1748980561000
38,1,71,1748981011000
39,1,71,1748980981000
40,1,72,1748980741000
41,1,83,1748980366000
42,1,74,1748980531000
43,1,78,1748980426000
44,1,77,1748980501000
45,1,71,1748981056000
46,1,74,1748980516000
47,1,71,1748981086000
48,1,72,1748980711000
49,1,73,1748980651000
50,1,83,1748980351000
51,1,72,1748980816000
52,1,74,1748980546000
53,1,78,1748980396000
54,1,73,1748980666000
55,1,72,1748980861000
56,1,77,1748980471000
57,1,72,1748980891000
58,1,71,1748980951000
59,1,83,1748980216000
60,1,75,1748987746000
61,1,75,1748981356000
62,1,73,1748993971000
63,1,75,1748988316000
64,1,75,1748987971000
65,1,73,1748991766000
66,1,69,1748984896000
67,1,68,1748983741000
68,1,69,1748985961000
69,1,73,1748992066000
70,1,75,1748983156000
71,1,71,1748995621000
72,1,74,1748992711000
73,1,73,1748991616000
74,1,71,1748990176000
75,1,68,1748983876000
76,1,68,1748983936000
77,1,72,1748982616000
78,1,90,1748982991000
79,1,71,1748990086000
80,1,67,1748992351000
81,1,73,1748982271000
82,1,76,1748993086000
83,1,71,1748995381000
84,1,69,1748992306000
85,1,76,1748993101000
86,1,73,1748981176000
87,1,74,1748993716000
88,1,74,1748991856000
89,1,75,1748993551000
90,1,72,1748981476000
91,1,71,1748990386000
92,1,72,1748982091000
93,1,71,1748990221000
94,1,69,1748982331000
95,1,68,1748985541000
96,1,71,1748989366000
97,1,68,1748986336000
98,1,69,1748983396000
99,1,75,1748983201000
100,1,73,1748992036000
101,1,74,1748987221000
102,1,76,1748987641000
103,1,71,1748994196000
104,1,70,1748995156000
105,1,72,1748991361000
106,1,70,1748992486000
107,1,83,1748992156000
108,1,68,1748983861000
109,1,70,1748984446000
110,1,72,1748987371000
111,1,69,1748986441000
112,1,74,1748993041000
113,1,72,1748982121000
114,1,68,1748985061000
115,1,71,1748989321000
116,1,71,1748982031000
117,1,69,1748987101000
118,1,72,1748992021000
119,1,68,1748985016000
120,1,70,1748994496000
121,1,69,1748995636000
122,1,69,1748984266000
123,1,73,1748991631000
124,1,69,1748986051000
125,1,71,1748994436000
126,1,74,1748993491000
127,1,70,1748995051000
128,1,77,1748987281000
129,1,70,1748986726000
130,1,69,1748995441000
131,1,71,1748995606000
132,1,68,1748985841000
133,1,70,1748995201000
134,1,72,1748991931000
135,1,68,1748985106000
136,1,68,1748985301000
137,1,83,1748992171000
138,1,70,1748984461000
139,1,70,1748986966000
140,1,70,1748995846000
141,1,76,1748987836000
142,1,71,1748994241000
143,1,78,1748993146000
144,1,71,1748989471000
